0.0282	0
0.0282	1
0.0282	2
0.0282	3
0.0282	4
0.0282	5
0.0282	6
0.0282	7
0.0282	8
0.0282	9
0.0282	10
0.0282	11
0.0282	12
0.0282	13
0.0282	14
0.0282	15
0.0282	16
0.0282	17
0.0282	18
0.0282	19
0.0282	20
0.0282	21
0.0282	22
0.0282	23
0.0282	24
0.0282	25
0.0282	26
0.0282	27
0.0282	28
0.0282	29
0.0282	30
0.0282	31
0.0282	32
0.0282	33
0.0282	34
0.0282	35
0.0282	36
0.0282	37
0.0282	38
0.0282	39
0.0282	40
0.0282	41
0.0282	42
0.0282	43
0.0282	44
0.0282	45
0.0282	46
0.0282	47
0.0282	48
0.0282	49
0.0282	50
0.0282	51
0.0282	52
0.0282	53
0.0282	54
0.0282	55
0.0282	56
0.0282	57
0.0282	58
0.0282	59
0.0282	60
0.0282	61
0.0282	62
0.0282	63
0.0282	64
0.0282	65
0.0282	66
0.0282	67
0.0282	68
0.0282	69
0.0282	70
0.0282	71
0.0282	72
0.0282	73
0.0282	74
0.0282	75
0.0282	76
0.0282	77
0.0282	78
0.0282	79
0.0282	80
0.0282	81
0.0282	82
0.0282	83
0.0282	84
0.0282	85
0.0282	86
0.0282	87
0.0282	88
0.0282	89
0.0282	90
0.0282	91
0.0282	92
0.0282	93
0.0282	94
0.0282	95
0.0282	96
0.0282	97
0.0282	98
0.0282	99
0.0282	100
0.0282	101
0.0282	102
0.0282	103
0.0282	104
0.0282	105
0.0282	106
0.0282	107
0.0282	108
0.0282	109
0.0282	110
0.0282	111
0.0282	112
0.0282	113
0.0282	114
0.0282	115
0.0282	116
0.0282	117
0.0282	118
0.0282	119
0.0353	197
0.0353	662
0.0355	483
0.0355	593
0.0359	361
0.036	215
0.0361	712
0.0362	219
0.0362	335
0.0363	159
0.0363	244
0.0363	642
0.0363	745
0.0364	482
0.0365	391
0.0365	486
0.0365	747
0.0365	876
0.0366	256
0.0366	552
0.0366	557
0.0366	646
0.0367	209
0.0367	238
0.0367	937
0.0367	984
0.0368	201
0.0368	390
0.0368	824
0.0369	136
0.0369	239
0.0369	334
0.0369	698
0.0369	874
0.037	169
0.037	403
0.037	756
0.037	799
0.037	863
0.037	923
0.037	955
0.0371	200
0.0371	255
0.0371	290
0.0371	329
0.0371	415
0.0371	553
0.0371	720
0.0371	997
0.0372	313
0.0372	423
0.0372	609
0.0372	849
0.0372	917
0.0372	927
0.0372	931
0.0373	534
0.0373	536
0.0373	691
0.0373	908
0.0374	130
0.0374	379
