0	-0.0697500035	-0.0697500035	-0.0697500035	-0.0697500035	-0.0697500035	0	0	-0.0500000007	-0.0500000007
5e-05	-0.069501251	-0.069501251	-0.069501251	-0.069501251	-0.069501251	0	0	-0.0500000007	-0.0500000007
0.0001	-0.0692537427	-0.0692537427	-0.0692537427	-0.0692537427	-0.0692537427	0	0	-0.0500000007	-0.0500000007
0.00015	-0.0690074712	-0.0690074712	-0.0690074712	-0.0690074712	-0.0690074712	0	0	-0.0500000007	-0.0500000007
0.0002	-0.0687624365	-0.0687624365	-0.0687624365	-0.0687624365	-0.0687624365	0	0	-0.0500000007	-0.0500000007
0.00025	-0.0685186237	-0.0685186237	-0.0685186237	-0.0685186237	-0.0685186237	0	0	-0.0500000007	-0.0500000007
0.0003	-0.0682760328	-0.0682760328	-0.0682760328	-0.0682760328	-0.0682760328	0	0	-0.0500000007	-0.0500000007
0.00035	-0.0680346563	-0.0680346563	-0.0680346563	-0.0680346563	-0.0680346563	0	0	-0.0500000007	-0.0500000007
0.0004	-0.0677944794	-0.0677944794	-0.0677944794	-0.0677944794	-0.0677944794	0	0	-0.0500000007	-0.0500000007
0.00045	-0.0675555095	-0.0675555095	-0.0675555095	-0.0675555095	-0.0675555095	0	0	-0.0500000007	-0.0500000007
0.0005	-0.0673177317	-0.0673177317	-0.0673177317	-0.0673177317	-0.0673177317	0	0	-0.0500000007	-0.0500000007
0.00055	-0.0670811459	-0.0670811459	-0.0670811459	-0.0670811459	-0.0670811459	0	0	-0.0500000007	-0.0500000007
0.0006	-0.0668457374	-0.0668457374	-0.0668457374	-0.0668457374	-0.0668457374	0	0	-0.0500000007	-0.0500000007
0.00065	-0.066611506	-0.066611506	-0.066611506	-0.066611506	-0.066611506	0	0	-0.0500000007	-0.0500000007
0.0007	-0.0663784519	-0.0663784519	-0.0663784519	-0.0663784519	-0.0663784519	0	0	-0.0500000007	-0.0500000007
0.00075	-0.06614656	-0.06614656	-0.06614656	-0.06614656	-0.06614656	0	0	-0.0500000007	-0.0500000007
0.0008	-0.0659158304	-0.0659158304	-0.0659158304	-0.0659158304	-0.0659158304	0	0	-0.0500000007	-0.0500000007
0.00085	-0.0656862482	-0.0656862482	-0.0656862482	-0.0656862482	-0.0656862482	0	0	-0.0500000007	-0.0500000007
0.0009	-0.0654578134	-0.0654578134	-0.0654578134	-0.0654578134	-0.0654578134	0	0	-0.0500000007	-0.0500000007
0.00095	-0.065230526	-0.065230526	-0.065230526	-0.065230526	-0.065230526	0	0	-0.0500000007	-0.0500000007
0.001	-0.0650043711	-0.0650043711	-0.0650043711	-0.0650043711	-0.0650043711	0	0	-0.0500000007	-0.0500000007
0.00105	-0.0647793487	-0.0647793487	-0.0647793487	-0.0647793487	-0.0647793487	0	0	-0.0500000007	-0.0500000007
