0	-0.0649009943	-0.0649009943	-0.0649259984	-0.0649259984	-0.0649259984	-0.0649259984	-0.0649259984	-0.0649259984
0.0001	-0.0648024902	-0.0648024902	-0.0648523718	-0.0648523718	-0.0648523718	-0.0648523718	-0.0648523718	-0.0648523718
0.0002	-0.0647044778	-0.0647044778	-0.0647791103	-0.0647791103	-0.0647791103	-0.0647791103	-0.0647791103	-0.0647791103
0.0003	-0.0646069571	-0.0646069571	-0.0647062138	-0.0647062138	-0.0647062138	-0.0647062138	-0.0647062138	-0.0647062138
0.0004	-0.0645099208	-0.0645099208	-0.0646336824	-0.0646336824	-0.0646336824	-0.0646336824	-0.0646336824	-0.0646336824
0.0005	-0.0644133687	-0.0644133687	-0.064561516	-0.064561516	-0.064561516	-0.064561516	-0.064561516	-0.064561516
0.0006	-0.0643173009	-0.0643173009	-0.0644897074	-0.0644897074	-0.0644897074	-0.0644897074	-0.0644897074	-0.0644897074
0.0007	-0.0642217174	-0.0642217174	-0.0644182563	-0.0644182563	-0.0644182563	-0.0644182563	-0.0644182563	-0.0644182563
0.0008	-0.0641266108	-0.0641266108	-0.0643471628	-0.0643471628	-0.0643471628	-0.0643471628	-0.0643471628	-0.0643471628
0.0009	-0.0640319809	-0.0640319809	-0.064276427	-0.064276427	-0.064276427	-0.064276427	-0.064276427	-0.064276427
0.001	-0.0639378205	-0.0639378205	-0.0642060414	-0.0642060414	-0.0642060414	-0.0642060414	-0.0642060414	-0.0642060414
0.0011	-0.0638441294	-0.0638441294	-0.0641360134	-0.0641360134	-0.0641360134	-0.0641360134	-0.0641360134	-0.0641360134
0.0012	-0.0637509078	-0.0637509078	-0.0640663356	-0.0640663356	-0.0640663356	-0.0640663356	-0.0640663356	-0.0640663356
0.0013	-0.0636581555	-0.0636581555	-0.0639970005	-0.0639970005	-0.0639970005	-0.0639970005	-0.0639970005	-0.0639970005
0.0014	-0.0635658652	-0.0635658652	-0.0639280155	-0.0639280155	-0.0639280155	-0.0639280155	-0.0639280155	-0.0639280155
0.0015	-0.0634740368	-0.0634740368	-0.0638593733	-0.0638593733	-0.0638593733	-0.0638593733	-0.0638593733	-0.0638593733
0.0016	-0.0633826628	-0.0633826628	-0.0637910739	-0.0637910739	-0.0637910739	-0.0637910739	-0.0637910739	-0.0637910739
0.0017	-0.0632917508	-0.0632917508	-0.0637231171	-0.0637231171	-0.0637231171	-0.0637231171	-0.0637231171	-0.0637231171
0.0018	-0.0632012933	-0.0632012933	-0.0636555031	-0.0636555031	-0.0636555031	-0.0636555031	-0.0636555031	-0.0636555031
0.0019	-0.0631112903	-0.0631112903	-0.0635882244	-0.0635882244	-0.0635882244	-0.0635882244	-0.0635882244	-0.0635882244
0.002	-0.0630217344	-0.0630217344	-0.0635212809	-0.0635212809	-0.0635212809	-0.0635212809	-0.0635212809	-0.0635212809
0.0021	-0.0629326254	-0.0629326254	-0.0634546727	-0.0634546727	-0.0634546727	-0.0634546727	-0.0634546727	-0.0634546727
0.0022	-0.0628439635	-0.0628439635	-0.0633883998	-0.0633883998	-0.0633883998	-0.0633883998	-0.0633883998	-0.0633883998
0.0023	-0.0627557412	-0.0627557412	-0.0633224547	-0.0633224547	-0.0633224547	-0.0633224547	-0.0633224547	-0.0633224547
0.0024	-0.0626679659	-0.0626679659	-0.0632568449	-0.0632568449	-0.0632568449	-0.0632568449	-0.0632568449	-0.0632568449
0.0025	-0.0625806227	-0.0625806227	-0.0631915629	-0.0631915629	-0.0631915629	-0.0631915629	-0.0631915629	-0.0631915629
0.0026	-0.0624937192	-0.0624937192	-0.0631266087	-0.0631266087	-0.0631266087	-0.0631266087	-0.0631266087	-0.0631266087
0.0027	-0.0624072514	-0.0624072514	-0.0630619749	-0.0630619749	-0.0630619749	-0.0630619749	-0.0630619749	-0.0630619749
0.0028	-0.0623212159	-0.0623212159	-0.0629976615	-0.0629976615	-0.0629976615	-0.0629976615	-0.0629976615	-0.0629976615
0.0029	-0.0622356087	-0.0622356087	-0.0629336759	-0.0629336759	-0.0629336759	-0.0629336759	-0.0629336759	-0.0629336759
0.003	-0.0621504299	-0.0621504299	-0.0628700107	-0.0628700107	-0.0628700107	-0.0628700107	-0.0628700107	-0.0628700107
