0.00505	0
0.00505	1
0.00505	2
0.00505	3
0.00505	4
0.0151	0
0.0151	1
0.01655	3
0.0191	2
0.02145	4
0.02515	0
0.02515	1
0.02925	3
0.0352	0
0.0352	1
0.03795	2
0.04295	3
0.04525	0
0.04525	1
0.0456	4
0.0553	0
0.0553	1
0.05735	3
0.0617	2
0.06535	0
0.06535	1
0.07225	3
0.0754	0
0.0754	1
0.07645	4
0.08545	0
0.08545	1
0.08755	3
0.09	2
0.0955	0
0.0955	1
0.10305	3
0.10555	0
0.10555	1
0.1116	4
0.1156	0
0.1156	1
0.1187	3
0.1215	2
0.12565	0
0.12565	1
0.13445	3
0.1357	0
0.1357	1
0.14575	0
0.14575	1
0.1487	4
0.15025	3
0.1546	2
0.1558	0
0.1558	1
0.16585	0
0.16585	1
0.1661	3
0.1759	0
0.1759	1
0.182	3
0.18595	0
0.18595	1
0.1866	4
0.18835	2
0.196	0
0.196	1
0.1979	3
0.20605	0
0.20605	1
0.2138	3
0.2161	0
0.2161	1
0.22235	2
0.2248	4
0.22615	0
0.22615	1
0.2297	3
0.2362	0
0.2362	1
0.24565	3
0.24625	0
0.24625	1
0.2563	0
0.2563	1
0.25645	2
0.26155	3
0.26315	4
0.26635	0
0.26635	1
0.2764	0
0.2764	1
0.2775	3
0.28645	0
0.28645	1
0.2906	2
0.29345	3
0.2965	0
0.2965	1
0.3016	4
0.30655	0
0.30655	1
0.3094	3
0.3166	0
0.3166	1
0.32475	2
0.3253	3
0.32665	0
0.32665	1
0.3367	0
0.3367	1
0.34005	4
0.34125	3
0.34675	0
0.34675	1
0.3568	0
0.3568	1
0.3572	3
0.3589	2
0.36685	0
0.36685	1
0.37315	3
0.3769	0
0.3769	1
0.37855	4
0.38695	0
0.38695	1
0.38905	3
0.39305	2
0.397	0
0.397	1
0.405	3
0.40705	0
0.40705	1
0.41705	4
0.4171	0
0.4171	1
0.42095	3
0.42715	0
0.42715	1
0.4272	2
0.4369	3
0.4372	0
0.4372	1
0.44725	0
0.44725	1
0.4528	3
0.45555	4
0.4573	0
0.4573	1
0.46135	2
0.46735	0
0.46735	1
0.46875	3
0.4774	0
0.4774	1
0.4847	3
0.48745	0
0.48745	1
0.49405	4
0.4955	2
0.4975	0
0.4975	1
